step,loss,perplexity,timestamp
50,8.5447,5139.58,2025-12-28T06:15:33.343584
100,6.0086,406.92,2025-12-28T06:18:13.318850
150,8.0174,3033.25,2025-12-28T06:19:42.274872
200,7.9938,2962.51,2025-12-28T06:21:11.634126
250,7.9871,2942.74,2025-12-28T06:22:41.102315
300,8.0087,3007.00,2025-12-28T06:24:10.488300
350,8.0185,3036.60,2025-12-28T06:25:39.682876
400,7.4475,1715.54,2025-12-28T06:27:08.041317
450,7.5536,1907.54,2025-12-28T06:28:36.585586
500,7.5949,1988.07,2025-12-28T06:30:05.565453
550,7.3557,1565.16,2025-12-28T06:31:34.473794
600,7.3051,1487.89,2025-12-28T06:33:03.367657
650,7.5477,1896.28,2025-12-28T06:34:32.021480
700,7.2965,1475.12,2025-12-28T06:36:01.188620
750,7.1271,1245.26,2025-12-28T06:37:30.560732
800,7.2547,1414.77,2025-12-28T06:38:59.793946
850,7.1511,1275.45,2025-12-28T06:40:29.107378
900,7.1902,1326.42,2025-12-28T06:41:58.120621
950,7.0612,1165.82,2025-12-28T06:43:27.196570
1000,7.4592,1735.74,2025-12-28T06:44:55.224298
1050,7.1222,1239.23,2025-12-28T06:46:37.353201
1100,7.1121,1226.71,2025-12-28T06:48:06.313020
1150,7.0885,1198.14,2025-12-28T06:49:35.195024
1200,7.0106,1108.27,2025-12-28T06:51:04.915229
1250,6.9069,999.15,2025-12-28T06:52:34.819133
1300,7.0002,1096.88,2025-12-28T06:54:03.986748
1350,6.8010,898.73,2025-12-28T06:55:33.236621
1400,6.8716,964.53,2025-12-28T06:57:02.053535
1450,6.9512,1044.38,2025-12-28T06:58:30.970292
1500,7.0066,1103.86,2025-12-28T06:59:59.797362
1550,6.7461,850.76,2025-12-28T07:01:29.146884
1600,6.8835,976.05,2025-12-28T07:02:58.370462
1650,6.8835,976.00,2025-12-28T07:04:27.702996
1700,6.8383,932.88,2025-12-28T07:05:56.815782
1750,6.8477,941.75,2025-12-28T07:07:24.966332
1800,6.7052,816.61,2025-12-28T07:08:53.516079
1850,6.7142,824.06,2025-12-28T07:10:22.162548
1900,6.8532,946.92,2025-12-28T07:11:50.774185
1950,6.7288,836.14,2025-12-28T07:13:19.421149
2000,6.8851,977.59,2025-12-28T07:14:48.452272
2050,6.6169,747.60,2025-12-28T07:16:31.034970
2100,6.8692,962.15,2025-12-28T07:17:59.245595
2150,6.6765,793.57,2025-12-28T07:19:28.319864
2200,7.1343,1254.23,2025-12-28T07:20:56.805502
2250,6.8296,924.80,2025-12-28T07:22:25.250043
2300,6.2306,508.04,2025-12-28T07:23:53.917027
2350,6.8973,989.57,2025-12-28T07:25:22.864370
2400,6.8121,908.74,2025-12-28T07:26:51.234031
2450,6.8902,982.57,2025-12-28T07:28:19.901649
2500,6.8539,947.61,2025-12-28T07:29:48.062503
2550,6.2678,527.33,2025-12-28T07:31:16.136505
2600,6.7495,853.62,2025-12-28T07:32:44.998779
2650,6.6982,810.96,2025-12-28T07:34:13.239646
2700,6.6991,811.69,2025-12-28T07:35:42.097121
2750,6.5175,676.92,2025-12-28T07:37:10.333906
2800,6.7735,874.35,2025-12-28T07:38:38.635361
2850,6.8901,982.53,2025-12-28T07:40:07.021162
2900,6.9266,1018.99,2025-12-28T07:41:34.938560
2950,6.7319,838.72,2025-12-28T07:43:03.158686
3000,6.5950,731.40,2025-12-28T07:44:31.214157
3050,6.9039,996.12,2025-12-28T07:46:13.889363
3100,6.6486,771.73,2025-12-28T07:47:41.450375
3150,6.6476,770.95,2025-12-28T07:49:10.488747
3200,6.6619,782.05,2025-12-28T07:50:39.551254
3250,6.7427,847.89,2025-12-28T07:52:08.245255
3300,6.6517,774.13,2025-12-28T07:53:37.380925
3350,6.6054,739.10,2025-12-28T07:55:05.744297
3400,6.5914,728.80,2025-12-28T07:56:33.533474
3450,6.7184,827.46,2025-12-28T07:58:01.940752
3500,6.8177,913.87,2025-12-28T07:59:30.243088
3550,6.9346,1027.17,2025-12-28T08:00:58.067966
3600,6.5324,687.04,2025-12-28T08:02:26.883507
3650,6.5863,725.07,2025-12-28T08:03:55.733397
3700,6.5176,676.96,2025-12-28T08:05:24.436496
3750,6.6965,809.60,2025-12-28T08:06:52.753227
3800,6.6853,800.54,2025-12-28T08:08:21.052906
3850,6.5959,732.07,2025-12-28T08:09:49.224157
3900,6.6454,769.22,2025-12-28T08:11:17.642343
3950,6.6195,749.55,2025-12-28T08:12:46.339226
4000,6.7706,871.83,2025-12-28T08:14:14.981860
4050,6.6530,775.09,2025-12-28T08:15:57.092142
4100,6.6365,762.44,2025-12-28T08:17:25.349007
4150,6.7414,846.75,2025-12-28T08:18:54.303510
4200,6.6029,737.23,2025-12-28T08:20:22.759302
4250,6.9278,1020.20,2025-12-28T08:21:51.531700
4300,6.7227,831.10,2025-12-28T08:23:20.120781
4350,6.6709,789.11,2025-12-28T08:24:48.547771
4400,6.5556,703.19,2025-12-28T08:26:16.834336
4450,6.8084,905.40,2025-12-28T08:27:45.140804
4500,6.6900,804.30,2025-12-28T08:29:13.604321
4550,6.7988,896.77,2025-12-28T08:30:42.887345
4600,6.6483,771.49,2025-12-28T08:32:12.134450
4650,6.7214,830.01,2025-12-28T08:33:40.707103
4700,6.7114,821.73,2025-12-28T08:35:08.872127
4750,6.6791,795.59,2025-12-28T08:36:37.411865
4800,6.7463,850.94,2025-12-28T08:38:05.741792
4850,6.9306,1023.14,2025-12-28T08:39:34.248441
4900,6.5902,727.92,2025-12-28T08:41:02.868258
4950,6.8603,953.69,2025-12-28T08:42:31.470280
5000,6.6818,797.76,2025-12-28T08:44:00.483928
5050,6.8043,901.68,2025-12-28T08:45:44.248420
5100,6.5810,721.24,2025-12-28T08:47:12.638319
5150,6.5687,712.45,2025-12-28T08:48:41.027985
5200,6.7774,877.76,2025-12-28T08:50:10.178098
5250,6.7190,828.00,2025-12-28T08:51:38.391699
5300,6.7354,841.65,2025-12-28T08:53:06.821701
5350,6.8442,938.43,2025-12-28T08:54:34.961700
5400,6.7870,886.22,2025-12-28T08:56:03.851350
5450,6.7749,875.56,2025-12-28T08:57:32.852268
5500,6.9016,993.85,2025-12-28T08:59:01.764784
5550,6.9938,1089.85,2025-12-28T09:00:30.138075
5600,6.8832,975.70,2025-12-28T09:01:58.330027
5650,6.6521,774.39,2025-12-28T09:03:26.768709
5700,6.9318,1024.32,2025-12-28T09:04:54.638264
5750,6.7678,869.37,2025-12-28T09:06:22.925581
5800,6.8204,916.34,2025-12-28T09:07:51.172254
5850,6.7844,883.91,2025-12-28T09:09:19.823329
5900,6.7858,885.15,2025-12-28T09:10:48.059810
5950,6.8310,926.14,2025-12-28T09:12:16.338418
6000,6.9501,1043.27,2025-12-28T09:13:44.500633
6050,6.9750,1069.53,2025-12-28T09:15:29.392813
6100,6.8905,982.84,2025-12-28T09:16:57.320628
6150,6.9536,1046.86,2025-12-28T09:18:25.932228
6200,6.8445,938.73,2025-12-28T09:19:54.335152
6250,6.9056,997.81,2025-12-28T09:21:22.247368
6300,6.7746,875.37,2025-12-28T09:22:49.563207
6350,6.7084,819.23,2025-12-28T09:24:17.434719
6400,6.8605,953.88,2025-12-28T09:25:45.518293
6450,6.7037,815.42,2025-12-28T09:27:13.370479
6500,6.8041,901.58,2025-12-28T09:28:41.637722
6550,6.9447,1037.65,2025-12-28T09:30:10.046368
6600,6.8864,978.84,2025-12-28T09:31:38.090319
6650,6.9233,1015.71,2025-12-28T09:33:06.789349
6700,6.9710,1065.25,2025-12-28T09:34:35.238164
6750,7.0143,1112.42,2025-12-28T09:36:03.600691
6800,7.1221,1239.09,2025-12-28T09:37:32.007420
6850,6.8757,968.42,2025-12-28T09:39:00.509032
6900,6.8586,952.03,2025-12-28T09:40:29.189039
6950,6.9902,1085.94,2025-12-28T09:41:57.995399
7000,6.9157,1007.98,2025-12-28T09:43:27.041620
7050,7.2409,1395.38,2025-12-28T09:45:10.842655
7100,6.9419,1034.71,2025-12-28T09:46:39.031640
7150,7.0312,1131.40,2025-12-28T09:48:07.660892
7200,6.9110,1003.27,2025-12-28T09:49:35.878107
7250,6.9744,1068.88,2025-12-28T09:51:04.006892
7300,6.8611,954.44,2025-12-28T09:52:31.530248
7350,6.9891,1084.69,2025-12-28T09:54:00.158273
7400,6.8521,945.86,2025-12-28T09:55:28.483651
7450,6.7606,863.20,2025-12-28T09:56:56.687973
7500,6.9653,1059.26,2025-12-28T09:58:24.963565
7550,6.9658,1059.78,2025-12-28T09:59:52.844917
7600,6.9831,1078.29,2025-12-28T10:01:20.500634
7650,7.1415,1263.28,2025-12-28T10:02:48.271072
7700,7.1000,1211.92,2025-12-28T10:04:16.082609
7750,6.9259,1018.35,2025-12-28T10:05:44.113392
7800,6.9593,1052.92,2025-12-28T10:07:12.283946
7850,6.8559,949.45,2025-12-28T10:08:40.831927
7900,7.0723,1178.84,2025-12-28T10:10:09.325143
7950,7.0815,1189.76,2025-12-28T10:11:37.489594
8000,6.9808,1075.79,2025-12-28T10:13:05.499957
8050,7.0166,1114.98,2025-12-28T10:14:48.669153
8100,7.0728,1179.45,2025-12-28T10:16:16.888289
8150,6.9939,1089.96,2025-12-28T10:17:45.529523
8200,7.0498,1152.63,2025-12-28T10:19:13.409433
8250,6.9232,1015.55,2025-12-28T10:20:41.113196
8300,6.9802,1075.17,2025-12-28T10:22:09.073376
8350,7.0607,1165.27,2025-12-28T10:23:37.406257
8400,7.2587,1420.47,2025-12-28T10:25:05.367500
8450,6.9969,1093.27,2025-12-28T10:26:32.954601
8500,7.0022,1099.05,2025-12-28T10:28:01.140276
8550,7.3222,1513.59,2025-12-28T10:29:29.433824
8600,7.1886,1324.20,2025-12-28T10:30:57.870858
8650,7.0548,1158.46,2025-12-28T10:32:26.385054
8700,7.0657,1171.09,2025-12-28T10:33:55.083737
8750,7.0406,1142.02,2025-12-28T10:35:23.993477
8800,7.1454,1268.29,2025-12-28T10:36:53.175567
8850,6.9558,1049.21,2025-12-28T10:38:21.714625
8900,6.8862,978.72,2025-12-28T10:39:49.559832
8950,6.9472,1040.26,2025-12-28T10:41:17.784910
9000,6.8668,959.88,2025-12-28T10:42:46.169517
9050,6.9482,1041.30,2025-12-28T10:44:30.789642
9100,6.8145,910.93,2025-12-28T10:45:58.806412
9150,7.1133,1228.14,2025-12-28T10:47:27.085164
9200,6.9168,1009.13,2025-12-28T10:48:56.272305
9250,7.0417,1143.30,2025-12-28T10:50:25.160636
9300,7.0011,1097.87,2025-12-28T10:51:53.550756
9350,7.1239,1241.29,2025-12-28T10:53:21.308624
9400,7.0216,1120.63,2025-12-28T10:54:48.708522
9450,6.9349,1027.51,2025-12-28T10:56:16.668005
9500,6.9885,1084.08,2025-12-28T10:57:44.598083
9550,7.3837,1609.61,2025-12-28T10:59:12.627062
9600,6.9948,1090.99,2025-12-28T11:00:40.459232
9650,7.2566,1417.48,2025-12-28T11:02:08.325324
9700,7.3165,1504.89,2025-12-28T11:03:36.204748
9750,5.2767,195.72,2025-12-28T11:05:04.430080
9800,7.1797,1312.50,2025-12-28T11:06:32.504568
9850,7.0338,1134.34,2025-12-28T11:08:01.025827
9900,7.1057,1218.95,2025-12-28T11:09:28.826859
9950,6.9897,1085.44,2025-12-28T11:10:56.001784
10000,7.0504,1153.27,2025-12-28T11:12:23.337380
10050,6.9006,992.90,2025-12-28T11:14:05.924774
10100,7.0886,1198.19,2025-12-28T11:15:33.917119
10150,7.0249,1124.28,2025-12-28T11:17:02.288968
10200,6.9808,1075.78,2025-12-28T11:18:30.592234
10250,7.0044,1101.48,2025-12-28T11:19:58.907658
10300,6.9026,994.81,2025-12-28T11:21:27.574705
10350,7.0897,1199.55,2025-12-28T11:22:56.322712
10400,7.0571,1161.06,2025-12-28T11:24:24.909325
10450,7.1380,1258.90,2025-12-28T11:25:53.456594
10500,7.3591,1570.40,2025-12-28T11:27:22.105408
10550,7.1362,1256.67,2025-12-28T11:28:50.284034
10600,6.8488,942.78,2025-12-28T11:30:18.457040
10650,7.0965,1207.70,2025-12-28T11:31:46.311477
10700,7.0333,1133.71,2025-12-28T11:33:14.606400
10750,7.2306,1381.03,2025-12-28T11:34:42.703967
10800,7.3322,1528.78,2025-12-28T11:36:10.762274
10850,7.2011,1340.86,2025-12-28T11:37:39.264463
10900,7.2871,1461.34,2025-12-28T11:39:07.524543
10950,7.2862,1460.00,2025-12-28T11:40:35.809676
11000,6.9081,1000.34,2025-12-28T11:42:03.436911
11050,7.2189,1365.01,2025-12-28T11:43:46.398131
11100,7.0667,1172.26,2025-12-28T11:45:14.376674
11150,7.0850,1193.87,2025-12-28T11:46:42.170747
11200,7.2454,1401.60,2025-12-28T11:48:09.992806
11250,7.1694,1299.07,2025-12-28T11:49:38.277244
11300,7.0865,1195.71,2025-12-28T11:51:06.560190
11350,7.3410,1542.29,2025-12-28T11:52:35.002052
11400,7.3925,1623.76,2025-12-28T11:54:02.890297
11450,7.1899,1325.97,2025-12-28T11:55:30.683296
11500,7.0972,1208.59,2025-12-28T11:56:58.163460
11550,6.9575,1051.01,2025-12-28T11:58:26.303551
11600,7.1577,1283.96,2025-12-28T11:59:54.505685
11650,7.2706,1437.40,2025-12-28T12:01:22.439566
11700,7.1774,1309.44,2025-12-28T12:02:50.371500
11750,7.1244,1241.88,2025-12-28T12:04:18.247783
11800,7.0293,1129.19,2025-12-28T12:05:46.308517
11850,7.3626,1575.93,2025-12-28T12:07:14.654465
11900,7.3269,1520.63,2025-12-28T12:08:42.651639
11950,7.2113,1354.65,2025-12-28T12:10:10.452611
12000,7.2056,1347.01,2025-12-28T12:11:38.043474
12050,7.2550,1415.19,2025-12-28T12:13:21.026334
12100,7.1648,1293.08,2025-12-28T12:14:48.608079
12150,7.1744,1305.64,2025-12-28T12:16:16.536613
12200,7.1169,1232.57,2025-12-28T12:17:44.794116
12250,7.1676,1296.71,2025-12-28T12:19:13.602134
12300,7.1204,1236.96,2025-12-28T12:20:42.381647
12350,7.5932,1984.59,2025-12-28T12:22:10.600289
12400,7.2424,1397.51,2025-12-28T12:23:38.486009
12450,7.1802,1313.22,2025-12-28T12:25:06.541678
12500,7.2438,1399.44,2025-12-28T12:26:34.036511
12550,6.9750,1069.59,2025-12-28T12:28:01.580792
12600,7.0890,1198.67,2025-12-28T12:29:29.969469
12650,7.1672,1296.22,2025-12-28T12:30:58.602285
12700,7.2424,1397.42,2025-12-28T12:32:27.145367
12750,7.1044,1217.31,2025-12-28T12:33:55.998047
12800,7.1975,1336.10,2025-12-28T12:35:24.386200
12850,7.2526,1411.78,2025-12-28T12:36:52.237143
12900,7.2150,1359.62,2025-12-28T12:38:19.762465
12950,7.1894,1325.27,2025-12-28T12:39:47.622446
13000,7.2550,1415.15,2025-12-28T12:41:15.882938
13050,7.2817,1453.45,2025-12-28T12:42:59.957931
13100,7.0904,1200.36,2025-12-28T12:44:28.220555
13150,7.3282,1522.66,2025-12-28T12:45:56.736740
13200,7.1517,1276.28,2025-12-28T12:47:25.588626
13250,7.4104,1653.07,2025-12-28T12:48:54.455631
13300,7.1001,1212.04,2025-12-28T12:50:23.290877
13350,7.2288,1378.55,2025-12-28T12:51:51.442731
13400,7.1270,1245.17,2025-12-28T12:53:19.575802
13450,7.2850,1458.32,2025-12-28T12:54:47.561797
13500,7.2208,1367.64,2025-12-28T12:56:16.253513
13550,7.2202,1366.78,2025-12-28T12:57:44.361370
13600,7.5435,1888.40,2025-12-28T12:59:13.282775
13650,7.3406,1541.70,2025-12-28T13:00:42.066625
13700,7.3246,1517.22,2025-12-28T13:02:10.685525
13750,7.3340,1531.47,2025-12-28T13:03:38.736104
13800,7.2445,1400.39,2025-12-28T13:05:06.818026
13850,7.4230,1673.97,2025-12-28T13:06:34.851730
13900,7.3468,1551.25,2025-12-28T13:08:02.897317
13950,7.2925,1469.19,2025-12-28T13:09:31.621193
14000,7.5989,1995.92,2025-12-28T13:11:00.287808
14050,7.3533,1561.36,2025-12-28T13:12:44.152229
14100,7.2275,1376.80,2025-12-28T13:14:11.969421
14150,7.3921,1623.07,2025-12-28T13:15:40.265611
14200,7.3416,1543.14,2025-12-28T13:17:08.493649
14250,7.4064,1646.45,2025-12-28T13:18:36.772030
14300,7.3513,1558.27,2025-12-28T13:20:05.410727
14350,7.4567,1731.36,2025-12-28T13:21:34.494292
14400,7.2628,1426.18,2025-12-28T13:23:03.335057
14450,7.3367,1535.70,2025-12-28T13:24:32.078453
14500,7.2796,1450.38,2025-12-28T13:26:00.168699
14550,7.1890,1324.78,2025-12-28T13:27:27.724541
14600,7.3223,1513.63,2025-12-28T13:28:55.234361
14650,7.3767,1598.23,2025-12-28T13:30:23.839001
14700,7.2646,1428.88,2025-12-28T13:31:52.413073
14750,7.2715,1438.76,2025-12-28T13:33:20.802416
14800,7.4494,1718.83,2025-12-28T13:34:49.314513
14850,7.2394,1393.28,2025-12-28T13:36:17.692178
14900,7.2493,1407.07,2025-12-28T13:37:45.969439
14950,7.3536,1561.73,2025-12-28T13:39:14.226081
15000,7.3002,1480.56,2025-12-28T13:40:43.441435
15050,7.2419,1396.78,2025-12-28T13:42:27.078669
15100,7.2840,1456.79,2025-12-28T13:43:55.159061
15150,7.3771,1598.92,2025-12-28T13:45:23.282631
15200,7.3064,1489.85,2025-12-28T13:46:51.301099
15250,7.3376,1537.09,2025-12-28T13:48:19.385963
15300,7.3470,1551.55,2025-12-28T13:49:47.764803
15350,7.4818,1775.37,2025-12-28T13:51:16.114701
15400,7.3907,1620.87,2025-12-28T13:52:44.393419
15450,7.2277,1376.99,2025-12-28T13:54:12.271835
15500,7.2744,1442.93,2025-12-28T13:55:40.331639
15550,7.2636,1427.40,2025-12-28T13:57:08.278463
15600,7.2974,1476.43,2025-12-28T13:58:36.296508
15650,7.2150,1359.72,2025-12-28T14:00:04.300150
15700,7.1397,1260.99,2025-12-28T14:01:33.032964
15750,7.3140,1501.23,2025-12-28T14:03:01.944426
15800,7.3197,1509.76,2025-12-28T14:04:30.430011
15850,7.4931,1795.68,2025-12-28T14:05:59.067376
15900,7.4017,1638.83,2025-12-28T14:07:27.196819
15950,7.1279,1246.25,2025-12-28T14:08:55.332657
16000,7.2990,1478.88,2025-12-28T14:10:23.423779
16050,7.5595,1918.85,2025-12-28T14:12:07.905735
16100,7.3075,1491.42,2025-12-28T14:13:36.205025
16150,7.4775,1767.89,2025-12-28T14:15:05.113339
16200,7.2928,1469.70,2025-12-28T14:16:34.058682
